iter	RMSE
0	37.47571199
1	36.32544131
2	35.27036399
3	34.21818264
4	33.43154402
5	32.64339923
6	31.86114401
7	31.26831103
8	30.62921429
9	30.12482314
10	29.73221221
11	29.22591956
12	28.74166045
13	28.3796727
14	27.97552342
15	27.72304775
16	27.41325803
17	27.2097385
18	26.91873727
19	26.64122879
20	26.44534556
21	26.28075514
22	26.14553315
23	25.95260195
24	25.76364052
25	25.6070648
26	25.48507745
27	25.3328004
28	25.25357344
29	25.10247819
30	24.94785298
31	24.86596144
32	24.76686215
33	24.66640209
34	24.52510944
35	24.51048691
36	24.49716989
37	24.37429004
38	24.31490282
39	24.2658372
40	24.20024568
41	24.0604489
42	24.04338269
43	23.9623758
44	23.93137864
45	23.80792302
46	23.76998763
47	23.75345705
48	23.70191583
49	23.66309554
50	23.63433885
51	23.57638374
52	23.55687605
53	23.51727709
54	23.48145667
55	23.42048871
56	23.39429728
57	23.33672943
58	23.29154945
59	23.25162956
60	23.18405546
61	23.15219271
62	23.14155739
63	23.10994888
64	23.03704424
65	22.98536179
66	22.89008113
67	22.83564202
68	22.79145253
69	22.77121896
70	22.74122409
71	22.70112421
72	22.67528725
73	22.64548211
74	22.62692017
75	22.58458131
76	22.57458808
77	22.52989263
78	22.51330657
79	22.4499973
80	22.38186091
81	22.37517427
82	22.32762392
83	22.26774749
84	22.24339299
85	22.19359395
86	22.16852832
87	22.11450632
88	22.07189257
89	22.02872993
90	22.01866114
91	22.00578557
92	21.96025396
93	21.91997902
94	21.87672364
95	21.85704753
96	21.81594925
97	21.78577463
98	21.73826826
99	21.72061914
100	21.67588662
101	21.64132034
102	21.62493388
103	21.59609386
104	21.54206741
105	21.48789902
106	21.46589863
107	21.45471716
108	21.43103999
109	21.39412411
110	21.37238101
111	21.33598982
112	21.31431424
113	21.27038959
114	21.23458357
115	21.21563678
116	21.16992877
117	21.13308933
118	21.12630039
119	21.08901628
120	21.05360333
121	21.02060843
122	21.0173079
123	21.00605033
124	20.99061803
125	20.9358323
126	20.89005398
127	20.8591125
128	20.83375675
129	20.82831748
130	20.81460636
131	20.80460585
132	20.77679714
133	20.75624593
134	20.75354669
135	20.72862849
136	20.70464587
137	20.66330264
138	20.61648334
139	20.58427875
