iter	Passed	Remaining
0	7	1073
1	11	801
2	13	623
3	15	533
4	18	492
5	20	461
6	22	431
7	24	408
8	26	386
9	28	368
10	30	353
11	31	340
12	33	329
13	35	323
14	37	316
15	39	308
16	41	300
17	43	294
18	45	290
19	47	284
20	49	279
21	51	274
22	53	270
23	54	265
24	56	260
25	58	257
26	60	252
27	62	248
28	63	244
29	65	241
30	67	237
31	69	234
32	71	231
33	73	228
34	75	225
35	76	221
36	77	216
37	79	213
38	81	211
39	83	208
40	85	205
41	87	203
42	88	200
43	90	197
44	92	195
45	94	192
46	96	190
47	98	188
48	100	186
49	102	183
50	104	182
51	105	179
52	107	176
53	109	174
54	111	172
55	113	170
56	115	167
57	117	165
58	118	163
59	120	160
60	122	159
61	124	156
62	126	154
63	128	152
64	130	150
65	131	147
66	133	145
67	135	143
68	137	141
69	139	139
70	141	137
71	143	135
72	145	133
73	146	131
74	148	128
75	150	126
76	152	124
77	154	122
78	156	120
79	158	118
80	159	116
81	161	114
82	163	112
83	165	110
84	167	108
85	169	106
86	171	104
87	172	102
88	174	100
89	176	98
90	178	96
91	180	94
92	182	92
93	184	90
94	186	88
95	188	86
96	190	84
97	192	82
98	194	80
99	196	78
100	197	76
101	199	74
102	202	72
103	204	70
104	206	68
105	208	66
106	210	64
107	212	62
108	214	60
109	215	58
110	217	56
111	219	54
112	221	52
113	223	51
114	225	49
115	227	47
116	229	45
117	231	43
118	233	41
119	235	39
120	237	37
121	239	35
122	240	33
123	242	31
124	244	29
125	246	27
126	248	25
127	250	23
128	252	21
129	253	19
130	255	17
131	257	15
132	259	13
133	261	11
134	263	9
135	265	7
136	266	5
137	268	3
138	270	1
139	272	0
